gene_symbol,Psd4
pvalue,0.4388849
parameter_id,IMPC_GEO_048_002
analysis_id,x6e30bu991a9y59
mouse_strain,C57BL
parameter_name,Anophthalmia
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
