gene_symbol,Ap5s1
analysis_id,2760c741270e0c8
parameter_id,IMPC_IMM_067_001
pvalue,0.6138244
gene_accession_id,MGI:1916846
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,Early adult
mouse_strain,C57BL
