analysis_id,zbo9733x14fd8xx
pvalue,0.5847722
parameter_name,Percentage center time
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:1332236
gene_symbol,Cds2
