parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
gene_accession_id,MGI:1923029
pvalue,0.5995211
gene_symbol,Dnaaf9
mouse_life_stage,Early adult
parameter_name,Follicular B Cells (CD21/35+)
analysis_id,0a179120sg974ly
