analysis_id,19826xe1sduar6h
gene_accession_id,MGI:1345282
pvalue,0.596667
parameter_name,Fat/Body weight
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,IMPC_DXA_009_001
mouse_life_stage,Middle aged adult
