analysis_id,buzyvy860h27sd6
mouse_strain,C57BL
gene_symbol,Sema6c
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:1338032
pvalue,0.984051
mouse_life_stage,Early adult
