parameter_name,Sodium
mouse_life_stage,Early adult
analysis_id,x917r658u441z4w
gene_accession_id,MGI:1914050
mouse_strain,C57BL
parameter_id,IMPC_CBC_001_001
gene_symbol,Trp53rkb
pvalue,0.4385244
