mouse_strain,C57BL
analysis_id,h2c36509r2a662d
parameter_id,IMPC_CBC_001_001
mouse_life_stage,Early adult
parameter_name,Sodium
gene_symbol,Frmpd1
pvalue,0.113576
gene_accession_id,MGI:2446274
