analysis_id,4h4v6b6sbmng75j
pvalue,0.8487362
gene_accession_id,MGI:2685053
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_013_001
gene_symbol,Ntmt2
parameter_name,Alanine aminotransferase
