analysis_id,2t3uc8rfh5vxvvm
gene_accession_id,MGI:97054
gene_symbol,Mov10
parameter_id,HRWLLA_DXA_007_001
pvalue,0.9038876
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,BMC/Body weight
