analysis_id,8kb82k2aax46917
parameter_name,Retina (combined)
mouse_life_stage,E12.5
pvalue,0.08246767
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:95457
gene_symbol,Mecom
