parameter_name,Lymphocyte differential count
pvalue,0.5243878
parameter_id,IMPC_HEM_031_001
gene_accession_id,MGI:1914556
mouse_strain,C57BL
analysis_id,602ma78aez802i0
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
