analysis_id,03vlc03gog822km
gene_symbol,Etfdh
gene_accession_id,MGI:106100
pvalue,0.09524308
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
parameter_name,Anophthalmia
mouse_life_stage,Early adult
