analysis_id,ex71tstw67kv899
gene_symbol,Trp53rkb
parameter_name,Chloride
pvalue,0.4404683
gene_accession_id,MGI:1914050
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
