analysis_id,1u7op78219egjwt
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
parameter_id,MGP_CSD_066_001
mouse_strain,129SV
parameter_name,Snout morphology
mouse_life_stage,Early adult
pvalue,0.7772969
