gene_symbol,Rab22a
analysis_id,h8bm52r1h0um08m
parameter_id,HMGULA_DYS_024_001
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1995282
