gene_symbol,Opn3
gene_accession_id,MGI:1338022
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
pvalue,0.7808155
mouse_life_stage,Early adult
parameter_id,JAXLA_GRS_011_001
analysis_id,tym49uf2k794wpj
