parameter_name,Centre resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bach2
pvalue,0.1821029
parameter_id,ESLIM_007_001_011
gene_accession_id,MGI:894679
analysis_id,0193xn0gvkwnai3
