gene_symbol,Alkbh3
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
gene_accession_id,MGI:1916363
analysis_id,85o6f0528991d61
mouse_strain,C57BL
pvalue,0.1815476
