parameter_id,M-G-P_008_001_013
mouse_life_stage,Early adult
pvalue,0.6712867
analysis_id,pj96l2t1guw344h
parameter_name,Startle Response
gene_symbol,Trim46
mouse_strain,C57BL
gene_accession_id,MGI:2673000
