analysis_id,9ym61i1mqt4kks6
mouse_strain,C57BL
pvalue,0.6668928
parameter_id,JAX_OFD_017_001
mouse_life_stage,Early adult
gene_symbol,Lurap1
parameter_name,Center average speed
gene_accession_id,MGI:1915325
