analysis_id,g0ybxq62gci6g23
mouse_strain,C57BL
pvalue,0.3853056
parameter_id,JAX_LDT_008_001
parameter_name,Percent time in dark
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
