gene_symbol,Ncaph
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:2444777
mouse_strain,C57BL
pvalue,0.3810629
analysis_id,590yz43q7mz12f4
