analysis_id,5yw48ve9506ld31
pvalue,0.929347
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
parameter_id,MGP_MLN_010_001
gene_symbol,Traf6
