analysis_id,29w7814682uo710
parameter_id,IMPC_CSD_016_001
gene_symbol,Bach2
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
pvalue,0.6304538
