analysis_id,832mi9vse02zzyk
mouse_life_stage,Early adult
gene_symbol,Sfpq
pvalue,0.299174
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:1918764
parameter_id,HMGULA_CBC_015_001
