parameter_name,Vocalization
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
pvalue,0.7118588
mouse_strain,C57BL
analysis_id,y76q8k40u173nb3
