parameter_name,Center average speed
analysis_id,kd56botba7m95bc
gene_accession_id,MGI:106100
gene_symbol,Etfdh
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_017_001
pvalue,0.2456866
mouse_strain,C57BL
