analysis_id,a035lcjzb299170
mouse_life_stage,Early adult
gene_symbol,Slc17a9
parameter_id,M-G-P_007_001_008
parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
gene_accession_id,MGI:1919107
pvalue,0.9161499
