mouse_strain,129SV
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
pvalue,0.1027669
parameter_id,IMPC_IMM_063_001
analysis_id,5h85h10i0nb6m5p
parameter_name,B Cells
gene_symbol,Inpp1
