analysis_id,i18946a7oir7bwd
mouse_life_stage,Early adult
parameter_name,Mean right eye lens density
mouse_strain,C57BL
pvalue,0.4883023
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
parameter_id,IMPC_EYE_059_001
