analysis_id,h2mtb3872xagm25
gene_symbol,Trim46
parameter_id,IMPC_EYE_006_001
pvalue,0.891511
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
parameter_name,Narrow eye opening
mouse_strain,C57BL
