analysis_id,0x83i20u70p4oa1
gene_accession_id,MGI:1917226
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
parameter_name,Body Weight
pvalue,0.5029457
gene_symbol,Galk2
mouse_strain,C59BL
