analysis_id,o233x088548ulnq
mouse_life_stage,Early adult
parameter_id,JAX_OFD_020_001
gene_accession_id,MGI:99605
mouse_strain,129SV
parameter_name,Distance travelled - total
gene_symbol,Cntfr
pvalue,0.3867137
