analysis_id,8b8q92258oza4q2
mouse_strain,C57BL
parameter_name,White blood cell count
gene_symbol,Snap23
parameter_id,IMPC_HEM_001_001
pvalue,0.1565991
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
