analysis_id,69oryn6je4e2811
pvalue,0.2605146
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Fat/Body weight
mouse_strain,C57BL
parameter_id,JAXLA_DXA_009_001
mouse_life_stage,E15.5
