analysis_id,3lcviyg92wn1g61
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:97838
pvalue,0.5960727
mouse_life_stage,E12.5
parameter_id,MGP_IMM_066_001
