gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
pvalue,0.9466876
parameter_name,Hemorrhage
analysis_id,f0lw190574qxxtb
