analysis_id,48om42g6fl9i80t
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_id,IMPC_CBC_011_001
parameter_name,Iron
pvalue,0.0772668
