parameter_name,Chloride
gene_accession_id,MGI:1923959
parameter_id,IMPC_CBC_003_001
gene_symbol,Arpc2
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9938608
analysis_id,bi32ek764v9c103
