analysis_id,5p924f41272005b
pvalue,0.4339985
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Calcium
gene_accession_id,MGI:2181659
parameter_id,IMPC_CBC_009_001
gene_symbol,Tox
