parameter_name,Creatinine
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
pvalue,0.9371241
gene_accession_id,MGI:1914672
analysis_id,528883wy9dogixw
gene_symbol,Dhdds
