gene_symbol,Kdm4c
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.3349604
mouse_strain,C57BL
analysis_id,f673x01bzx41s5s
