analysis_id,9odg4xd8b022c7g
parameter_name,Caudal processes
parameter_id,IMPC_XRY_067_001
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
mouse_strain,C57BL
pvalue,0.1481667
mouse_life_stage,Early adult
