analysis_id,hdqym6y203048pc
gene_symbol,Kifap3
parameter_id,IMPC_CBC_006_001
pvalue,0.05602125
parameter_name,Total protein
gene_accession_id,MGI:107566
mouse_strain,C57BL
mouse_life_stage,Early adult
