parameter_id,JAXLA_CBC_015_001
analysis_id,k380w90wmqo9a32
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
pvalue,0.2580471
parameter_name,Total cholesterol
mouse_strain,C57BL
