gene_symbol,Casq1
analysis_id,1x2l898q0ov6pc5
parameter_name,Lens Opacity
mouse_life_stage,Early adult
pvalue,0.786194
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1309468
