analysis_id,my2oaa1d4bm66u4
gene_accession_id,MGI:2444554
parameter_id,MGP_MLN_072_001
gene_symbol,Mapkap1
mouse_life_stage,E15.5
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.9401565
mouse_strain,C52BL
