analysis_id,hkvl8pkc0n1e87g
pvalue,0.4052025
parameter_id,IMPC_IMM_032_001
gene_accession_id,MGI:2140475
parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Late adult
gene_symbol,AU040320
mouse_strain,C57BL
