parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
mouse_strain,C57BL
pvalue,0.1755121
mouse_life_stage,Early adult
analysis_id,21rkly468kjdvq5
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
