analysis_id,u9b08163al3you6
parameter_id,ESLIM_007_001_015
pvalue,0.2007705
gene_accession_id,MGI:87968
mouse_strain,C57BL
gene_symbol,Ahcy
mouse_life_stage,E12.5
parameter_name,Number of centre entries
