pvalue,0.3358004
mouse_strain,C57BL
parameter_name,Calcium
gene_symbol,Hspa5
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:95835
analysis_id,ihm6snx41s42cv3
