analysis_id,qja94cndytlu3ba
gene_accession_id,MGI:95576
pvalue,0.6419648
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Fpgs
