gene_symbol,Snrpb2
mouse_life_stage,Early adult
parameter_id,MGP_IMM_004_001
analysis_id,bfz88dz2ml7021u
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_strain,C57BL
pvalue,0.8155533
gene_accession_id,MGI:104805
