analysis_id,54lj1g69u5fs1b6
gene_symbol,Bmi1
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_name,Cornea vascularisation
gene_accession_id,MGI:88174
pvalue,0.4399062
parameter_id,ESLIM_014_001_008
