parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
analysis_id,l939i24e4g3i8xt
gene_accession_id,MGI:2685277
pvalue,0.6719454
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
gene_symbol,Zyg11b
