analysis_id,zw088pn1d3hve9w
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
gene_symbol,AU040320
parameter_name,Total ab T cells - % of CD45+
pvalue,0.6341225
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
