analysis_id,9k3t4dp5fiq19i4
parameter_name,Startle response
parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
mouse_strain,C57BL
pvalue,0.7245409
gene_symbol,Tatdn3
