analysis_id,1m26q1270y0346w
mouse_strain,C57BL
pvalue,0.3884096
gene_accession_id,MGI:97838
parameter_name,Magnesium
parameter_id,M-G-P_025_001_030
gene_symbol,Eprs1
mouse_life_stage,E9.5
