parameter_name,Limb grasping
gene_symbol,Rab3gap2
parameter_id,ESLIM_008_001_017
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.937523
analysis_id,3mde7ro03875v2y
gene_accession_id,MGI:1916043
