gene_symbol,Car13
parameter_id,IMPC_IMM_006_001
parameter_name,Others
mouse_strain,C57BL
gene_accession_id,MGI:1931322
pvalue,0.4523238
mouse_life_stage,Early adult
analysis_id,ikdf8ogdu347o2d
