analysis_id,wwdc6uuvn1r3880
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,ESLIM_005_001_005
pvalue,0.6962963
parameter_name,Bone Mineral Content
