gene_symbol,Nemp2
parameter_id,MGP_IMM_036_001
analysis_id,60tif3167me786n
pvalue,0.5871318
mouse_strain,C57BL
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
