analysis_id,9ljwm023vnn2oe2
pvalue,0.4353614
gene_accession_id,MGI:1860103
parameter_name,Startle Response
mouse_life_stage,Early adult
gene_symbol,Slc2a8
parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
